rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
1	係	15318	hai6	to be/to connect/to relate to/to tie up/to bind	⿰亻系	covered_main	function-words-and-particles.js	hai6	func:copula	
2	呢	8009	ne1|ni1|nei1	(question particle for subjects already mentioned)/woolen material	⿰口尼	covered_main	degree-and-formulas.js	ni1	func:demonstrative_determiner	
3	嘅	7809	ge3	possessive marker	⿰口既[G],⿰口旣[TJK]	covered_main	degree-and-formulas.js	ge3	particle:sentence_final_particle_or_nominalizer	
4	我	7173	ngo5	I/me/my	我	covered_main	people-and-address.js	ngo5	who:subject_or_topic	
5	你	6947	nei5	you (informal, as opposed to polite 您[néih])	⿰亻尔	covered_main	people-and-address.js	nei5	who:subject_or_topic	
6	就	6377	zau6	at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to compromise/to meet someone halfway/to give in to someone's demands/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning	⿰京尤	covered_main	function-words-and-particles.js	zau6	func:focus_or_sequence	
7	唔	6375	m4	not	⿰口吾	covered_main	function-words-and-particles.js	m4	func:negator	
8	個	6118	go3	individual/this/that/size/classifier for people or objects in general	⿰亻固	covered_main	places-and-times.js	go3	measure_word:general_classifier	
9	佢	5918	keoi5	he/she/it	⿰亻巨	covered_main	people-and-address.js	keoi5	who:subject_or_topic	
10	咁	5478	gam3|gam2	so	⿰口甘	covered_main	function-words-and-particles.js	gam2	func:discourse_marker	
11	嗰	5413	go2	that	⿰口個	covered_main	referents-and-boundaries.js	go2	func:demonstrative_determiner	
12	好	4038	hou2|hou3	good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)|to be fond of/to have a tendency to/to be prone to	⿰女子	covered_main	degree-and-formulas.js	hou2	how:degree_marker	
13	啲	4031	di1	plural prefix	⿰口的	covered_main	function-words-and-particles.js	di1	how:quantity_degree_or_plural	
14	啊	3973	aa3|aa1|aa2	interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress/interjection of surprise or doubt/Eh?/My!/what's up?/interjection of surprise/Ah!/Oh!/interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!/modal particle ending sentence, showing affirmation, approval, or consent	⿰口阿	covered_main	degree-and-formulas.js	aa3	particle:sentence_final_particle	
15	呀	3801	aa3|aa1|aa6	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)	⿰口牙	covered_main	degree-and-formulas.js	aa3	particle:sentence_final_particle	
16	都	3785	dou1	all/both (if two things are involved)/entirely (due to) each/even/already/capital city/metropolis/surname Du	⿰者阝	covered_main	function-words-and-particles.js	dou1	how:focus_adverb	
17	喺	3704	hai2	located at	⿰口係	covered_main	function-words-and-particles.js	hai2	func:locative_coverb	
18	有	3683	jau5	to have/there is/there are/to exist/to be/to have money/to be rich	⿸𠂇月	covered_main	function-words-and-particles.js	jau5	func:existential_or_possessive	
19	即係	2930	zik1hai6	exactly	⿰&CDP-8B7C;卩:⿰亻系	missing				
20	噉	2599	gam2	in this way	⿰口敢	covered_main	function-words-and-particles.js	gam2	func:discourse_marker demonstrative_manner	
21	去	2380	heoi3	to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed	⿱土厶	covered_main	verbs.js	heoi3	doing:movement_verb	
22	到	2329	dou3	to (a place)/until (a time)/up to/to go/to arrive	⿰至刂	surface_covered_sense_uncertain	function-words-and-particles.js	dou2	func:result_or_attainment	
23	咗	2220	zo2	particle	⿰口左	covered_main	function-words-and-particles.js	zo2	func:perfective_aspect	
24	冇	2129	mou5	don't have/haven't/not/do not/have no	⿸𠂇冂	covered_main	function-words-and-particles.js	mou5	func:negated_existential	
25	哋	2116	dei6	plural suffix	⿰口地	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
26	嘢	2016	je5	thing/a person, a body part or other object which is not named directly but is often indicated by the classifier used/a person (disrespectful)/heroin	⿰口野	covered_main	things.js	je5	what:object_np	
27	即	1930	zik1	namely/that is/i.e./prompt/at once/at present/even if/prompted (by the occasion)/to approach/to come into contact/to assume (office)/to draw near	⿰&CDP-8B7C;卩	missing				
28	話	1828	waa6|waa2	to say/dialect/language/spoken words/speech/talk/words/conversation/what sb said	⿰言舌	covered_main	verbs.js	waa6	doing:speech_reporting_verb	
29	唔係	1818	m4hai6	not	⿰口吾:⿰亻系	covered_main	function-words-and-particles.js	m4 hai6	func:negated_copula	
30	跟住	1653	gan1zyu6	NO DEF	⿰𧾷艮:⿰亻主	covered_main	study-suite.js	gan1 zyu6	func:sequence_connector discourse_marker	
31	會	1592	wui5|wui6|wui2	can/be possible/be able to/will/to assemble/to meet/to gather/to see/union/group/association/to balance an account/accounting	⿱亼𭥴	covered_main	function-words-and-particles.js	wui5	func:modal_future_or_habitual	
32	喇	1491	laa1	(onomat.)/(phonetic)	⿰口剌	surface_covered_sense_uncertain	degree-and-formulas.js	laa3	particle:sentence_final_particle change_state_current_relevance_particle	
33	但係	1423	daan6hai6	but	⿰亻旦:⿰亻系	covered_main	function-words-and-particles.js	daan6 hai6	func:connector_contrast	
34	又	1356	jau6	(once) again/also/both... and.../again	又	covered_main	function-words-and-particles.js	jau6	how:focus_adverb	
35	之後	1279	zi1hau6	afterwards/following/later/after	⿱丶&CDP-8661;:⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]	covered_main	verbs.js	zi1 hau6	when:temporal_connector	
36	啦	1262	laa1|laa3	(an auxiliary word performing the grammatical functions of mood)/fusion of le + a/follows after 比如 listed examples/(onomat.)/(phonetic)	⿰口拉	covered_main	degree-and-formulas.js	laa1	particle:sentence_final_particle directive_closure_particle	
37	要	1256	jiu3	demand/ask/request/coerce/important/vital/to want/will/going to (as future auxiliary)/may/must	⿱覀女	covered_main	function-words-and-particles.js	jiu3	func:modal_need_or_want	
38	一個	1246	*jat1go3	NO DEF	一:⿰亻固	handled_structurally				src/runtime-resources/presentation/learner-glosses.js
39	喀	1219	kak1	(onomat.)	⿰口客	missing				
40	一	1195	jat1	one/1/single/a (article)/as soon as/entire/whole/all/throughout/"one" radical in Chinese characters (Kangxi radical 1)	一	covered_main	places-and-times.js	jat1	like:quantity count_value numeral_one	
41	喎	1182	wo3|wo4|wo5|wo6|wo1	a wry mouth	⿰口咼	covered_main	degree-and-formulas.js	wo3	particle:sentence_final_particle evidential_noteworthiness_particle	
42	㗎	1155	*?	NO DEF	⿰口架	covered_main	degree-and-formulas.js	gaa3	particle:explanatory_sentence_final_particle	
43	度	1149	dou6|dok6	to pass/to spend (time)/measure/limit/extent/degree of intensity/degree (angles, temperature etc)/kilowatt-hour|to consider/to calculate/to think/to estimate/to ask someone for a loan	⿸广&CDP-8C46;	covered_main	verbs.js	dou6	func:locative_postposition	
44	同埋	1122	tung4maai4	and, together with	⿵𠔼口:⿰土里	covered_main	function-words-and-particles.js	tung4 maai4	func:connector_additive	
45	覺得	1086	gok3dak1	to think/to feel	⿱𦥯見:⿰彳㝵	covered_main	verbs.js	gok3 dak1	doing:cognition_opinion_predicate	
46	做	1064	zou6	to do/to act/to have sex/to fight/to kill/to trick	⿰亻故	covered_main	verbs.js	zou6	doing:verb	
