candidate_rank	word	hkcancor_count	hkcancor_ppm	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_count	cantomap_ppm	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	combined_equal_corpus_ppm	attested_both_spoken_corpora	cross_corpus_balance	dominant_corpus	cifu_top2000	cifu_rank	cifu_spoken_adult	cifu_candidate_jyutping	known_invalid_atomic	initial_curation_signal	final_curation_status	curation_note
1	係	5019	40805.541554	v	v:5018|x:1	0.000000	hai6:5019	5847	60374.202342	v	v:5847	hai6:5847	50589.871948	true	0.675877	cantomap	true	1	15318	hai6	false	general_lexicality_review	unreviewed	
2	個	1478	12016.455552	q	q:1475|y:3	0.000000	go3:1478	4840	49976.250955	q	q:4840	go3:4840	30996.353254	true	0.240443	cantomap	true	8	6118	go3	false	general_lexicality_review	unreviewed	
3	嘅	1765	14349.826826	u	u:1578|y:178|y1:6|q:2|e:1	0.000000	ge3:1765	3829	39536.996882	u	u:3810|y:17|q:1|c:1	ge3:3820|ge6:7|ge1:1|ge4:1	26943.411854	true	0.362947	cantomap	true	3	7809	ge3	false	general_lexicality_review	unreviewed	
4	啊	4110	33415.177483	y	y:3596|y1:429|e:83|u:1|c:1	0.000000	aa3:4110	1674	17285.174401	y	y:1528|y1:88|e:58	aa3:1334|a3:314|jaa3:21|jaak3:3|jaa2:1|jat6:1	25350.175942	true	0.517285	hkcancor	true	14	3973	aa3|aa1|aa2	false	general_lexicality_review	unreviewed	
5	呢	2734	22228.003707	y1	y1:2168|y:563|x:1|n1:1|c:1	0.000000	ne1:2734	2405	24833.240402	y1	y1:2363|y:42	le1:1729|ne1:669|le3:5|le6:1|lek6:1	23530.622055	true	0.895091	cantomap	true	2	8009	ne1|ni1|nei1	false	general_lexicality_review	unreviewed	
6	就	1822	14813.248996	d	d:1808|v:8|c:5|u:1	0.000000	zau6:1822	2512	25938.087273	d	d:2512	zau6:2512	20375.668134	true	0.571100	cantomap	true	6	6377	zau6	false	general_lexicality_review	unreviewed	
7	你	2570	20894.648693	r	r:2570	0.000000	nei5:2570	1761	18183.507837	r	r:1761	nei5:1761	19539.078265	true	0.870247	hkcancor	true	5	6947	nei5	false	general_lexicality_review	unreviewed	
8	唔	2007	16317.338493	d	d:2001|l1:2|e:2|r:1|m:1	0.000000	m4:2007	1650	17037.358280	d	d:1650	m6:703|m4:680|m3:150|em6:58|m1:27|m2:21|em3:6|em4:2	16677.348387	true	0.957739	cantomap	true	7	6375	m4	false	general_lexicality_review	unreviewed	
9	我	2755	22398.738191	r	r:2755	0.000000	ngo5:2755	1015	10480.556760	r	r:1015	ngo5:1015	16439.647476	true	0.467908	hkcancor	true	4	7173	ngo5	false	general_lexicality_review	unreviewed	
10	佢	2259	18366.152295	r	r:2259	0.000000	keoi5:2259	902	9313.755860	r	r:902	keoi5:902	13839.954077	true	0.507115	hkcancor	true	9	5918	keoi5	false	general_lexicality_review	unreviewed	
11	喺	468	3804.939918	p	p:441|v:26|r:1	0.000000	hai2:468	2248	23212.109948	p	p:2248	hai2:2247|oi2:1	13508.524933	true	0.163920	cantomap	true	17	3704	hai2	false	general_lexicality_review	unreviewed	
12	好	1856	15089.676255	d	d:1221|a:583|vu:33|g2:13|v:3|Ag:2|Mg:1	0.000000	hou2:1855|hou3:1	1020	10532.185119	d	d:779|a:240|vu:1	hou2:1020	12810.930687	true	0.697973	hkcancor	true	12	4038	hou2|hou3	false	general_lexicality_review	unreviewed	
13	即係	1820	14796.988569	c	c:1692|d:127|v:1	0.000000	zik1hai6:1820	1011	10439.254073	c	c:1011	zik1hai6:1011	12618.121321	true	0.705499	hkcancor	true	19	2930	zik1hai6	false	general_lexicality_review	unreviewed	
14	有	1335	10853.835022	v1	v1:1335	0.000000	jau5:1335	1238	12783.181546	v1	v1:1238	jau5:1238	11818.508284	true	0.849071	cantomap	true	18	3683	jau5	false	general_lexicality_review	unreviewed	
15	咁	460	3739.898210	d	d:453|r:6|u:1	0.000000	gam3:460	1908	19701.381575	d	d:1908	gam3:1908	11720.639892	true	0.189829	cantomap	true	10	5478	gam3|gam2	false	general_lexicality_review	unreviewed	
16	喇	1660	13496.154409	y	y:1547|y1:111|x:1|u:1	0.000000	laa1:1660	902	9313.755860	y	y:902	laa1:799|la1:103	11404.955134	true	0.690104	hkcancor	true	32	1491	laa1	false	general_lexicality_review	unreviewed	
17	噉	2741	22284.915202	c	c:2142|r:577|e:8|u:7|y:5|d:2	0.000000	gam2:2741	0	0.000000				11142.457601	false	0.000000	hkcancor	true	20	2599	gam2	false	single_corpus_review	unreviewed	
18	誒	845	6870.030407	e	e:845	0.000000	e6:845	1403	14486.917374	e	e:1403	e6:1308|e3:39|e4:25|ek3:8|ei2:7|ek6:5|e2:4|ei1:2	10678.473890	true	0.474223	cantomap	true	58	817	aai2|ei6|oi1	false	general_lexicality_review	unreviewed	
19	都	2228	18114.115677	d	d:2228	0.000000	dou1:2228	274	2829.234042	d	d:274	dou1:274	10471.674859	true	0.156189	hkcancor	true	16	3785	dou1	false	general_lexicality_review	unreviewed	
20	嗰	425	3455.340737	r	r:425	0.000000	go2:425	1683	17378.105446	r	r:1683	go2:1674|go3:9	10416.723092	true	0.198833	cantomap	true	11	5413	go2	false	general_lexicality_review	unreviewed	
21	到	857	6967.592969	u	u:573|v:159|p:90|d:35	0.000000	dou2:446|dou3:411	1338	13815.748714	u	u:1155|p:133|v:46|d:4	dou3:1327|dou2:11	10391.670842	true	0.504323	cantomap	true	22	2329	dou3	false	general_lexicality_review	unreviewed	
22	𡃉	1810	14715.686434	y	y:1803|y1:5|u:2	0.000000	gaa3:1810	551	5689.445098	y	y:551	gaa3:422|ga3:129	10202.565766	true	0.386625	hkcancor	false				false	general_lexicality_review	unreviewed	
23	一	1115	9065.188052	m	m:1103|d:11|Dg:1	0.000000	jat1:1115	1037	10707.721537	m	m:1037	jat1:1037	9886.454795	true	0.846603	cantomap	true	40	1195	jat1	false	general_lexicality_review	unreviewed	
24	去	790	6422.868665	v	v:675|vk:64|p:50|t:1	0.000000	heoi3:790	1049	10831.629598	v	v:1040|p:6|vk:3	heoi3:1049	8627.249131	true	0.592973	cantomap	true	21	2380	heoi3	false	general_lexicality_review	unreviewed	
25	跟住	338	2748.012163	c	c:323|v:15	0.000000	gan1zyu6:338	1224	12638.622142	c	c:1224	gan1zyu6:1224	7693.317153	true	0.217430	cantomap	true	30	1653	gan1zyu6	false	general_lexicality_review	unreviewed	
26	囖	1470	11951.413844	y	y:1437|y1:31|e:1|u:1	0.000000	lo1:1470	279	2880.862400	y	y:279	lo1:279	7416.138122	true	0.241048	hkcancor	false				false	general_lexicality_review	unreviewed	
27	嘞	426	3463.470951	y	y:412|y1:14	0.000000	laak3:426	1066	11007.166016	y	y:1066	laak3:1029|laak6:11|lak3:6|laat6:6|laat3:4|lak6:3|laak4:2|laat2:1	7235.318483	true	0.314656	cantomap	true	57	817	laak3|lak3	false	general_lexicality_review	unreviewed	
28	啲	1344	10927.006943	q	q:806|u:379|m:111|r:47|x:1	0.000000	di1:1344	238	2457.509861	q	q:159|u:65|m:14	di1:238	6692.258402	true	0.224902	hkcancor	true	13	4031	di1	false	general_lexicality_review	unreviewed	
29	會	810	6585.472935	vu	vu:800|v:6|n:2|d:2	0.000000	wui5:808|wui2:2	561	5792.701815	vu	vu:561	wui5:561	6189.087375	true	0.879618	hkcancor	true	31	1592	wui5|wui6|wui2	false	general_lexicality_review	unreviewed	
30	咗	835	6788.728272	u	u:834|d:1	0.000000	zo2:835	448	4625.900915	u	u:448	zo2:446|co3:1|jo1:1	5707.314593	true	0.681409	hkcancor	true	23	2220	zo2	false	general_lexicality_review	unreviewed	
31	過	389	3162.653051	u	u:341|v:46|n:1|d:1	0.000000	gwo3:389	788	8136.629288	u	u:753|v:35	gwo3:788	5649.641170	true	0.388693	cantomap	true	111	390	gwo3	false	general_lexicality_review	unreviewed	
32	冇	781	6349.696743	v1	v1:777|v:2|d:2	0.000000	mou5:781	435	4491.667183	v1	v1:435	mou5:435	5420.681963	true	0.707383	hkcancor	true	24	2129	mou5	false	general_lexicality_review	unreviewed	
33	唔係	1081	8788.760793	v	v:1080|x:1	0.000000	m4hai6:1081	177	1827.643888	v	v:177	m4hai6:177	5308.202341	true	0.207952	hkcancor	true	29	1818	m4hai6	false	general_lexicality_review	unreviewed	
34	嚹	663	5390.331550	y	y:649|y1:14	0.000000	laa3:663	485	5007.950767	y	y:485	laa3:308|la3:151|la6:22|laa6:4	5199.141159	true	0.929062	hkcancor	false				false	general_lexicality_review	unreviewed	
35	向	4	32.520854	p	p:4	0.000000	hoeng3:4	988	10201.763625	p	p:366|n:307|v:206|a:80|xv:11|nr:3|d:3|x:3	hoeng3:988	5117.142239	true	0.003188	cantomap	true	49	992	hoeng3	false	domain_concentration_review	unreviewed	
36	喎	931	7569.228768	y	y:911|y1:19|u:1	0.000000	wo3:931	237	2447.184189	y	y:237	wo3:231|wo6:4|wo2:1|wo1:1	5008.206479	true	0.323307	hkcancor	true	41	1182	wo3|wo4|wo5|wo6|wo1	false	general_lexicality_review	unreviewed	
37	中間	10	81.302135	f	f:10	0.000000	zung1gaan1:10	905	9344.732875	f	f:905	zung1gaan1:905	4713.017505	true	0.008700	cantomap	true	52	952	zung1gaan1	false	domain_concentration_review	unreviewed	
38	行	81	658.547293	v	v:72|Ng:3|a:3|n:2|q:1	0.000000	haang4:72|hong4:6|hong2:3	823	8498.027797	v	v:818|n:4|Ng:1	hang4:823	4578.287545	true	0.077494	cantomap	true	145	269	hang4|haang4|hang6|hong4|hong2	false	domain_concentration_review	unreviewed	
