candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
17	噉	11142.457601	2741	0	false	0.000000	c	c:2142|r:577|e:8|u:7|y:5|d:2	0.000000	gam2:2741				true	20	false	true	daam6|gam2	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
25	跟住	7693.317153	338	1224	true	0.217430	c	c:323|v:15	0.000000	gan1zyu6:338	c	c:1224	gan1zyu6:1224	true	30	false	true	gan1zyu6	jyut6ping3.words.dict.yaml	aspect_result_sequence	unreviewed	
33	唔係	5308.202341	1081	177	true	0.207952	v	v:1080|x:1	0.000000	m4hai6:1081	v	v:177	m4hai6:177	true	29	false	true	m4hai6	jyut6ping3.words.dict.yaml	negated_sequence	unreviewed	
35	向	5117.142239	4	988	true	0.003188	p	p:4	0.000000	hoeng3:4	p	p:366|n:307|v:206|a:80|xv:11|nr:3|d:3|x:3	hoeng3:988	true	49	false	true	hoeng3	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
37	中間	4713.017505	10	905	true	0.008700	f	f:10	0.000000	zung1gaan1:10	f	f:905	zung1gaan1:905	true	52	false	true	zung1gaan1	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
38	行	4578.287545	81	823	true	0.077494	v	v:72|Ng:3|a:3|n:2|q:1	0.000000	haang4:72|hong4:6|hong2:3	v	v:818|n:4|Ng:1	hang4:823	true	145	false	true	haang4|hang4|hang6|hong2|hong4|hong6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
41	上	4373.969570	79	785	true	0.079239	v	v:38|f:37|k:3|p:1	0.000000	soeng5:43|soeng6:36	f	f:513|v:263|n:7|d:1|k:1	soeng6:785	true	55	false	true	soeng5|soeng6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
43	兜	4301.414176	4	830	true	0.003795	v	v:2|q:2	0.000000	dau1:4	v	v:677|n:84|a:23|q:13|d:6|vu:6|x:5|Ng:4	dau1:830	true	78	false	true	dau1	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
50	下面	3732.730314	0	723	false	0.000000			0.000000		f	f:361|n:254|Ng:36|x:34|a:17|t:11|q:3|Nsg:2	haa6min6:723	true	65	false	true	haa6min6	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
55	嗰啲	3276.476040	806	0	false	0.000000	r	r:804|q:2	0.000000	go2di1:806				false		false	true	go2di1	jyut6ping3.words.dict.yaml	single_corpus_signal|demonstrative_sequence	unreviewed	
57	畫	3096.603776	1	599	true	0.001314	n	n:1	0.000000	waa2:1	n	n:378|v:195|a:16|d:3|q:2|m:2|nr:1|x:1	waak6:598|waa5:1	true	201	false	true	waa2|waa6|waak6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
58	人	3091.882097	739	17	true	0.029216	n	n:739	0.000000	jan4:718|jan2:21	n	n:17	jan4:17	true	50	false	true	jan2|jan4	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
59	𠻺	3077.436164	517	189	true	0.464288	d	d:328|y1:152|y:16|e:9|u:7|c:5	0.000000	aa6:517	d	d:157|y:17|y1:12|e:2|Vg:1	a6:119|aa6:70	false		false	false			rime_absent	unreviewed	
67	噉樣	2865.900259	705	0	false	0.000000	c	c:387|r:312|d:4|y:2	0.000000	gam2joeng2:705				true	73	false	true	gam2joeng2	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
69	我哋	2857.885308	416	226	true	0.689972	r	r:415|w:1	0.000000	ngo5dei6:416	r	r:226	ngo5dei6:226	false		false	true	ngo5dei6	jyut6ping3.words.dict.yaml	pronoun_sequence	unreviewed	
70	右	2841.429362	3	548	true	0.004310	f	f:3	0.000000	jau6:3	f	f:232|n:193|v:52|vn:42|x:15|Nsg:3|y1:2|a:2	jau6:547|lau1:1	true	92	false	true	jau6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
71	喀	2829.314298	696	0	false	0.000000	e	e:696	0.000000	haak6:696				true	39	false	true	haak1|haak3|kaa1|kaa3	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
72	字	2819.269271	42	513	true	0.064464	n	n:39|q:3	0.000000	zi6:42	n	n:513	zi6:513	true	100	false	true	zi6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
76	覺得	2656.589866	637	13	true	0.025919	v	v:637	0.000000	gok3dak1:637	v	v:13	gok3dak1:13	true	45	false	true	gok3dak1	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
77	上面	2643.818061	9	505	true	0.014032	f	f:9	0.000000	soeng6min6:9	f	f:486|n:15|v:4	soeng6min6:505	true	85	false	true	soeng6min6	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
78	乜嘢	2621.547744	636	7	true	0.013978	r	r:633|n:3	0.000000	mat1je5:636	r	r:7	mat1je5:7	false		false	true	mat1je5	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
79	知	2596.024283	584	43	true	0.093513	v	v:583|g1:1	0.000000	zi1:584	v	v:43	zi1:43	true	76	false	true	zi1|zi3	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
82	真係	2526.060340	596	20	true	0.042619	d	d:593|c:3	0.000000	zan1hai6:596	d	d:20	zan1hai6:20	true	56	false	true	zan1hai6	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
84	然之後	2479.619834	41	448	true	0.072059	c	c:41	0.000000	jin4zi1hau6:41	c	c:448	jin4zi1hau6:448	false		false	true	jin4zi1hau6	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
88	經過	2307.136002	10	439	true	0.017936	v	v:8|vn:2	0.000000	ging1gwo3:10	v	v:391|u:34|d:8|vn:2|a:2|x:2	ging1gwo3:439	true	93	false	true	ging1gwo3	jyut6ping3.words.dict.yaml	domain_concentration_signal|aspect_result_sequence	unreviewed	
89	左	2284.615010	7	437	true	0.012612	f	f:7	0.000000	zo2:7	f	f:300|n:61|v:27|vn:23|x:8|a:6|q:3|Lg:2	zo2:437	true	118	false	true	zo2	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
92	俾	2054.833766	475	24	true	0.064170	p	p:254|v:218|vu:3	0.000000	bei2:475	v	v:12|p:12	bei2:24	true	103	false	true	bei2|pai3	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
94	來	1984.869823	487	1	true	0.002608	v	v:336|vk:86|y:53|p:11|y1:1	0.000000	lai4:487	v	v:1	loi4:1	true	90	false	true	lai4|loi4|loi6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
99	好似	1825.247958	322	100	true	0.394421	v	v:319|d:3	0.000000	hou2ci5:322	v	v:100	hou2ci5:100	true	83	false	true	hou2ci5	jyut6ping3.words.dict.yaml	degree_sequence	unreviewed	
103	角	1734.712843	0	336	false	0.000000			0.000000		n	n:321|v:6|x:6|ns:2|m:1	gok3:336	true	147	false	true	gok2|gok3|luk6	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
107	穿	1634.423504	2	315	true	0.004999	v	v:2	0.000000	cyun1:2	v	v:286|n:14|a:12|k:1|t:1|nr:1	cyun1:315	true	581	false	true	cyun1	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
108	因為	1620.844773	353	36	true	0.129522	c	c:353	0.000000	jan1wai6:353	c	c:36	jan1wai6:36	true	59	false	false			rime_absent	unreviewed	
109	佢哋	1619.471352	279	94	true	0.427898	r	r:279	0.000000	keoi5dei6:279	r	r:94	keoi5dei6:94	false		false	true	keoi5dei6	jyut6ping3.words.dict.yaml	pronoun_sequence	unreviewed	
110	位	1605.556738	33	285	true	0.091170	q	q:21|n:11|Ng:1	0.000000	wai2:33	n	n:152|q:117|Ng:15|v:1	wai6:285	true	236	false	true	wai2|wai6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
112	戀燕池	1554.013589	0	301	false	0.000000			0.000000		n	n:246|v:24|x:13|a:5|Ng:4|d:3|ns:3|Nsg:2	lyun2jin3ci4:301	false		false	false			single_corpus_signal|rime_absent	unreviewed	
113	嗰個	1544.740565	380	0	false	0.000000	r	r:378|x:1|q:1	0.000000	go2go3:380				false		false	true	go2go3|go3go3	jyut6ping3.words.dict.yaml	single_corpus_signal|demonstrative_sequence	unreviewed	
114	哩個	1524.415031	375	0	false	0.000000	r	r:375	0.000000	ni1go3:375				true	151	true	true	ni1go3	jyut6ping3.words.dict.yaml	known_invalid_atomic|single_corpus_signal|demonstrative_sequence	unreviewed	
115	線	1452.746821	17	268	true	0.049946	n	n:16|q:1	0.000000	sin3:17	n	n:268	sin3:268	true	164	false	true	sin3	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
116	終點	1424.942693	0	276	false	0.000000			0.000000		n	n:179|t:56|x:29|r:4|a:2|ns:2|Nsg:1|l:1	zung1dim2:276	true	141	false	true	zung1dim2	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
118	然後	1413.313782	20	258	true	0.061037	c	c:20	0.000000	jin4hau6:20	c	c:258	jin4hau6:258	true	124	false	true	jin4hau6	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
119	擁腰沙漠	1368.151498	0	265	false	0.000000			0.000000		n	n:127|v:91|x:14|a:10|ns:7|Ng:4|d:3|vn:2	jung2jiu1saa1mok6:265	false		false	false			single_corpus_signal|rime_absent	unreviewed	
121	自己	1324.332581	308	14	true	0.057729	r	r:308	0.000000	zi6gei2:308	r	r:14	zi6gei2:14	true	71	false	true	zi6gei2	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
122	嗰度	1313.986845	134	149	true	0.708112	r	r:134	0.000000	go2dou6:134	r	r:149	go2dou6:149	false		false	true	go2dou6	jyut6ping3.words.dict.yaml	demonstrative_sequence	unreviewed	
124	買	1280.508626	315	0	false	0.000000	v	v:315	0.000000	maai5:315				true	123	false	true	maai5	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
125	韻𡃁洞	1264.894781	0	245	false	0.000000			0.000000		n	n:183|v:30|Ng:6|x:5|a:5|vn:3|q:3|nr:2	wan5leng1dung6:245	false		false	false			single_corpus_signal|rime_absent	unreviewed	
127	咁樣	1244.243438	0	241	false	0.000000			0.000000		n	n:101|d:28|r:25|l:21|x:13|c:13|Ng:10|q:10	gam2joeng2:241	true	72	false	true	gam3joeng6	jyut6ping3.words.dict.yaml	single_corpus_signal|degree_sequence	unreviewed	
128	落去	1230.333861	55	195	true	0.222081	v	v:55	0.000000	lok6heoi3:55	v	v:195	lok6heoi3:195	true	121	true	true	lok6heoi3	jyut6ping3.words.dict.yaml	known_invalid_atomic|directional_chain	unreviewed	
132	上去	1141.878941	18	207	true	0.068468	v	v:18	0.000000	soeng5heoi3:18	v	v:207	soeng5heoi3:207	true	144	true	true	soeng5heoi3	jyut6ping3.words.dict.yaml	known_invalid_atomic|domain_concentration_signal|directional_chain	unreviewed	
133	哩	1117.904356	275	0	false	0.000000	r	r:272|y:3	0.000000	ni1:273|le5:2				true	120	false	true	le5|lei1|lei5|li1	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
134	啫	1102.947168	251	16	true	0.080959	y	y:241|c:9|y1:1	0.000000	ze1:251	y	y:16	ze1:15|zep1:1	true	130	false	true	ze1|zek1|zoe1	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
