r7_order	word	common_core	common_rank	common_combined_ppm	common_attested_both	cifu_rank	cifu_spoken_adult	cifu_reconstructed_jyutping	prior_audit_status	priority_action
1	哋	true	840	80.856025	true	25	2116	false	missing	protect_common_frequency_candidate
2	即	true	224	569.646264	true	27	1930	false	missing	protect_common_frequency_candidate
3	一個	false				38	1246	true	manual_review	low_priority_review
4	喀	true	71	2829.314298	false	39	1219	false	missing	protect_common_frequency_candidate
5	真係	true	82	2526.060340	true	56	872	false	handled_structurally	protect_common_frequency_candidate
6	誒	true	18	10678.473890	true	58	817	false	missing	protect_common_frequency_candidate
7	哦	true	48	3991.308226	true	69	710	false	missing	protect_common_frequency_candidate
8	咁樣	true	127	1244.243438	false	72	703	false	manual_review	protect_common_frequency_candidate
9	噉樣	true	67	2865.900259	false	73	681	false	handled_structurally	protect_common_frequency_candidate
10	兜	true	43	4301.414176	true	78	647	false	missing	protect_common_frequency_candidate
11	來	true	94	1984.869823	true	90	491	false	missing	protect_common_frequency_candidate
12	然	true	1930	20.651343	false	91	483	false	missing	protect_common_frequency_candidate
13	嘛	true	491	193.992304	true	109	402	false	missing	protect_common_frequency_candidate
14	嗯	true	102	1759.710022	true	116	370	false	missing	protect_common_frequency_candidate
15	哩	true	133	1117.904356	false	120	342	false	missing	protect_common_frequency_candidate
16	落去	true	128	1230.333861	true	121	329	false	manual_review	protect_common_frequency_candidate
17	方	true	182	752.676304	true	125	322	false	missing	protect_common_frequency_candidate
18	嘩	true	140	1064.491558	true	136	298	false	missing	protect_common_frequency_candidate
19	穿過	true	769	92.931045	false	137	297	false	missing	protect_common_frequency_candidate
20	兩個	false				139	291	true	manual_review	low_priority_review
21	個人	false				140	284	false	handled_structurally	atomic_retirement_candidate
22	上去	true	132	1141.878941	true	144	270	false	handled_structurally	protect_common_frequency_candidate
23	揾	true	151	922.779232	false	149	255	true	manual_review	protect_common_frequency_candidate
24	哩個	true	114	1524.415031	false	151	254	true	manual_review	protect_common_frequency_candidate
25	有個	false				156	245	true	manual_review	low_priority_review
26	唔到	false				157	244	true	manual_review	low_priority_review
27	埋	true	131	1165.277125	true	162	234	false	missing	protect_common_frequency_candidate
28	裏	false				174	201	false	missing	low_priority_review
29	過去	true	149	932.398130	true	185	185	false	handled_structurally	protect_common_frequency_candidate
30	而	true	356	306.837864	true	190	179	false	missing	protect_common_frequency_candidate
31	一樣	true	359	304.196296	true	192	177	false	handled_structurally	protect_common_frequency_candidate
32	第一	true	268	442.615435	true	200	170	false	handled_structurally	protect_common_frequency_candidate
33	場	true	783	90.083968	true	211	162	false	missing	protect_common_frequency_candidate
34	台	true	996	61.628220	true	212	161	false	missing	protect_common_frequency_candidate
35	番	true	1703	26.586099	true	214	159	false	missing	protect_common_frequency_candidate
36	唔見	true	1286	40.651067	false	217	157	true	manual_review	protect_common_frequency_candidate
37	兜過	false				219	157	true	manual_review	low_priority_review
38	個位	false				221	156	false	handled_structurally	atomic_retirement_candidate
39	比較	true	305	369.032495	true	222	155	false	missing	protect_common_frequency_candidate
40	冇乜	false				223	154	true	manual_review	low_priority_review
41	死	true	234	549.115221	true	229	153	false	missing	protect_common_frequency_candidate
42	出嚟	true	640	118.745224	false	233	151	false	handled_structurally	protect_common_frequency_candidate
43	返去	true	202	679.093364	true	234	150	false	manual_review	protect_common_frequency_candidate
44	戀	true	570	144.559404	false	239	149	false	missing	protect_common_frequency_candidate
45	都會	false				241	147	false	handled_structurally	atomic_retirement_candidate
46	右面	true	201	681.494331	false	242	146	false	manual_review	protect_common_frequency_candidate
47	左面	true	186	727.959854	false	245	145	false	handled_structurally	protect_common_frequency_candidate
