id	ordinal	section	subsection	item_type	register	traditional	jyutping	morpheme_gloss	english	ipa	traditional_a	traditional_b	jyutping_a	jyutping_b	english_a	english_b	source_hash
GLOSSIKA-YUEHK-A1-W14-20260621-I001	1	functional_language	apologies	sentence	casual	唔好意思。	M4 hou2 ji3 si1.	not good meaning	Sorry. / Excuse me.								sha256:736ef622b8ec4eb73920ea43ccbbb1c36b2bf57fa9f078e890e21daadbb48790
GLOSSIKA-YUEHK-A1-W14-20260621-I002	2	functional_language	apologies	sentence	casual	對唔住呀。	Deoi3 m4 zyu6 aa3.	sorry (PART)	I'm sorry.								sha256:66f4aa19f7ed4d71c15aec3e8d4dc8a1171b9fc0ab9dbf3ce8d4df44ad2967c8
GLOSSIKA-YUEHK-A1-W14-20260621-I003	3	functional_language	apologies	sentence	polite	對唔住，我遲咗。	Deoi3 m4 zyu6, ngo5 ci4 zo2.	sorry I late (PERF)	Sorry, I'm late.								sha256:dd84be403ff72057c94bf8c160f269241ea369f16619b197b3cf80077b20b4c2
GLOSSIKA-YUEHK-A1-W14-20260621-I004	4	functional_language	apologies	sentence	polite	好對唔住，係我唔啱。	Hou2 deoi3 m4 zyu6, hai6 ngo5 m4 ngaam1.	very sorry is I not right	I'm very sorry, it was my fault.								sha256:38735c3a5d3fffa8b7a52f50e29ed1a8562019ca9051f6da95de6945b9f152f3
GLOSSIKA-YUEHK-A1-W14-20260621-I005	5	functional_language	express_thanks	sentence	casual	多謝。	Do1 ze6.	many thanks	Thanks.								sha256:67b3ac5dbade5b89e8b45c1b2b4fe61735e040242a5899350a40f351bdaef627
GLOSSIKA-YUEHK-A1-W14-20260621-I006	6	functional_language	express_thanks	sentence	casual	唔該晒。	M4 goi1 saai3.	excuse-me all	Thank you so much.								sha256:a4e6e1c10527f4716df8f61bb71a14c4b15496b850b983040c32a6dcd8c5dc52
GLOSSIKA-YUEHK-A1-W14-20260621-I007	7	functional_language	express_thanks	sentence	polite	多謝你嘅幫忙。	Do1 ze6 nei5 ge3 bong1 mong4.	thank you 's help	Thank you for your help.								sha256:8690f121c80b67c1265b061e142d7c60175d22e9cc51c0e0a75a788d7b0539bc
GLOSSIKA-YUEHK-A1-W14-20260621-I008	8	functional_language	express_thanks	sentence	polite	真係好多謝你。	Zan1 hai6 hou2 do1 ze6 nei5.	really very thank you	I really appreciate it.								sha256:d4df9dffdfc162c899fa6e5261a05d3916054f17609ed281d37cef7c913d8b49
GLOSSIKA-YUEHK-A1-W14-20260621-I009	9	vocabulary_and_situations	work_and_office	lexical_entry		返工	faan1 gung1		to go to work								sha256:297ee25808233f10e66ad8954ce376c116696fafe75dcae479dc92f59c4bd6d2
GLOSSIKA-YUEHK-A1-W14-20260621-I010	10	vocabulary_and_situations	work_and_office	lexical_entry		放工	fong3 gung1		to get off work								sha256:d1b2447f00d7276dea3d9a1339ad7b328986461e6b01eea3546f4aff9e3d6358
GLOSSIKA-YUEHK-A1-W14-20260621-I011	11	vocabulary_and_situations	work_and_office	lexical_entry		公司	gung1 si1		company								sha256:4cffb39f9ba1db8fc45ae3679b18c7ceff332ec931e899c61fa9235182453d0e
GLOSSIKA-YUEHK-A1-W14-20260621-I012	12	vocabulary_and_situations	work_and_office	lexical_entry		辦公室	baan6 gung1 sat1		office								sha256:f76e961c5b662ca63aa1eb97d0e7ee0fa35fde3574835f824408cd40962ecc82
GLOSSIKA-YUEHK-A1-W14-20260621-I013	13	vocabulary_and_situations	work_and_office	lexical_entry		老闆	lou5 baan2		boss								sha256:a2e423bcc2258f62c53e4d83ff9a43b915e97cc66b3c003388eeb28577e62310
GLOSSIKA-YUEHK-A1-W14-20260621-I014	14	vocabulary_and_situations	work_and_office	lexical_entry		開會	hoi1 wui2		to have a meeting								sha256:8cd21bd6d69d03fadee7d3ee02400dd470dbd5deda1eddd5c70fdec4050e49e3
GLOSSIKA-YUEHK-A1-W14-20260621-I015	15	vocabulary_and_situations	work_and_office	lexical_entry		出糧	ceot1 loeng4		to get paid								sha256:f71a29861767504b74aa6bd951b9bb2ca2831a481b47396297730d319ca63caf
GLOSSIKA-YUEHK-A1-W14-20260621-I016	16	vocabulary_and_situations	work_and_office	lexical_entry		放假	fong3 gaa3		to have a holiday								sha256:bd0a01c33586fe473af369b50b6a8d12a2853112d809b9374dff5f03d60d54f2
GLOSSIKA-YUEHK-A1-W14-20260621-I017	17	vocabulary_and_situations	work_and_office	lexical_entry		打工	daa2 gung1		to work (part-time)								sha256:1c7aca90b205aa6d561d1a33baedb8cac85b66f65e753be9a586867869ac141b
GLOSSIKA-YUEHK-A1-W14-20260621-I018	18	vocabulary_and_situations	work_and_office	lexical_entry		人工	jan4 gung1		salary								sha256:4c616b2f11e5420db607ff59ce2211218fb87171a2d67564e5cadac8156fb3c9
GLOSSIKA-YUEHK-A1-W14-20260621-I019	19	vocabulary_and_situations	work_and_office	lexical_entry		加班	gaa1 baan1		to work overtime								sha256:d34138ce53f76170b824e4726e213e5fca5495482fac390937413da11bca723a
GLOSSIKA-YUEHK-A1-W14-20260621-I020	20	vocabulary_and_situations	work_and_office	lexical_entry		辭職	ci4 zik1		to resign								sha256:ba843dd303c3cd7bf48d9c0caa756e217c64a4b76598fd2b8ab8945df79615a2
GLOSSIKA-YUEHK-A1-W14-20260621-I021	21	vocabulary_and_situations	work_and_office	lexical_entry		見工	gin3 gung1		job interview								sha256:c5a8528b539fe2ae5f356bd8478342d20dc8a7dba26e2989fe1c30787d65bb0a
GLOSSIKA-YUEHK-A1-W14-20260621-I022	22	vocabulary_and_situations	work_and_office	lexical_entry		履歷	lei5 lik6		resume/CV								sha256:dba07cf19ef200f00c50d74d9da8b93d5de43432631c76c85d46e3a0d6fc8794
GLOSSIKA-YUEHK-A1-W14-20260621-I023	23	vocabulary_and_situations	work_and_office	lexical_entry		職位	zik1 wai2		position/job title								sha256:f05a6927031d701c7e1ae8d3736d1ad6303d2a78196d56232bbc5fa2abe407f3
GLOSSIKA-YUEHK-A1-W14-20260621-I024	24	vocabulary_and_situations	work_and_office	lexical_entry		合約	hap6 joek3		contract								sha256:4b1043c05bf296fa9bcd44855f3ad170e18dbfa264b3fb3a593ca96a673fe256
